url,redirect
investors/press-releases/2000/teletech-appoints-luis-mario-bilenky-as-president-and-general-manager-of-its-latin-america-operations,investors
"investors/press-releases/2000/teletech-awarded-$75-million,-long-term-global-contract-from-peoplepc",investors
investors/press-releases/2000/teletech-awarded-agreement-from-lehman-brothers-bank-teletech-to-provide-internet-integrated-customer-care-for-online-bank,investors
investors/press-releases/2000/teletech-awarded-contract-from-priceline-perfect-yardsale,investors
investors/press-releases/2000/teletech-awarded-contract-to-support-american-express-internet-brokerage-services,investors
investors/press-releases/2000/teletech-awarded-long-term-contract-with-allstate,investors
investors/press-releases/2000/teletech-awarded-long-term-contract-with-commonwealth-bank-of-australia-for-mortgage-offering-in-the-united-kingdom,investors
investors/press-releases/2000/teletech-awarded-long-term-contract-with-electronic-payment-exchange-to-provide-e-commerce-support,investors
investors/press-releases/2000/teletech-awarded-long-term-contract-with-netbank(r)-launches-strategic-ecrm-solution-for-nation39s-largest-internet-bank,investors
investors/press-releases/2000/teletech-closes-acquisition-of-customer-care-division-of-boston-communications-group,investors
investors/press-releases/2000/teletech-closes-acquisition-of-newgen-results-corporation-teletech-acquires-b2b-enterprise-channel-management-services-provider,investors
investors/press-releases/2000/teletech-comments-on-long-term-contract-with-verizon,investors
investors/press-releases/2000/teletech-extends-global-reach-with-acquisition-of-hong-kong-based-iccare-limited,investors
investors/press-releases/2000/teletech-extends-spanish-speaking-capabilities-into-north-america,investors
investors/press-releases/2000/teletech-forms-alliance-with-ingram-micro-to-provide-complete-customer-care-and-logistics-solutions,investors
"investors/press-releases/2000/teletech-launches-cybercare-financial-services-an-around-the-clock,-multi-channel-solution",investors
investors/press-releases/2000/teletech-launches-enhansiv(tm)-to-deliver-world-class-ecrm-technology-solutions-on-a-remote-hosted-basis,investors
investors/press-releases/2000/teletech-makes-strategic-investment-in-octane-software,investors
investors/press-releases/2000/teletech-names-larry-kessler-executive-vice-president-worldwide-sales-and-marketing,investors
investors/press-releases/2000/teletech-names-margot-o39dell-to-worldwide-executive-leadership-team,investors
investors/press-releases/2000/teletech-names-modes-president-of-its-digital-creators-electronic-intelligence-delivery-(eid)-subsidiary,investors
investors/press-releases/2000/teletech-names-modes-senior-vp-of-international-operations,investors
investors/press-releases/2000/teletech-names-william-tara-chief-information-officer,investors
"investors/press-releases/2000/teletech-opens-customer-interaction-center-in-morgantown,-west-virginia",investors
investors/press-releases/2000/teletech-partners-with-strategic-investors-for-enhansiv,investors
investors/press-releases/2000/teletech-promotes-larry-kessler-to-chief-operating-officer,investors
investors/press-releases/2000/teletech-recognized-as-one-of-the-industry39s-fastest-growing-technology-companies,investors
investors/press-releases/2000/teletech-reports-record-first-quarter-results,investors
investors/press-releases/2000/teletech-reports-record-fourth-quarter-and-1999-results-1999-e-commerce-revenues-grow-73-percent,investors
investors/press-releases/2000/teletech-reports-record-third-quarter-financial-results,investors
"investors/press-releases/2000/teletech-second-quarter-revenues-increase-51-to-a-record-$182-million,-led-by-e-commerce-revenue-growth-of-94",investors
investors/press-releases/2000/teletech-targets-insource-marketplace-with-world-class-ecrm-solution-offering,investors
investors/press-releases/2000/teletech-third-quarter-financial-results-conference-call-and-webcast,investors
investors/press-releases/2000/teletech-to-acquire-customer-care-division-of-boston-communications-group,investors
investors/press-releases/2000/teletech-to-acquire-newgen-results-corporation,investors
investors/press-releases/2000/teletech-to-acquire-newgen-results-corporation-(1),investors
"investors/press-releases/2000/teletech-to-open-new-customer-interaction-center-in-northbay,-ontario",investors
investors/press-releases/2000/teletech-to-open-state-of-the-art-customer-interaction-center-in-northern-ireland,investors
"investors/press-releases/2000/teletech-to-open-state-of-the-art-customer-interaction-centre-in-timmins,-ontario",investors
investors/press-releases/2001/newgen-and-ford-create-custom-crm-solution-for-ford-and-lincoln-mercury-dealerships,investors
investors/press-releases/2001/newgen-results-awarded-customer-relationship-management-contract-from-hyundai-auto-canada,investors
"investors/press-releases/2001/newgen-results-names-bill-klehm-as-vice-president-of-sales-and-marketing,-ian-steyn-as-vice-president-of-business-development",investors
investors/press-releases/2001/percepta-providing-24-hour-support-to-ford-motor-company-customers-during-tire-replacement,investors
investors/press-releases/2001/teletech39s-growth-creates-change-for-new-worldwide-headquarters,investors
investors/press-releases/2001/teletech-announces-agreement-with-verizon,investors
investors/press-releases/2001/teletech-announces-authorization-for-stock-repurchase-program,investors
"investors/press-releases/2001/teletech-asia-pacific-wins-additional-business-with-telstra,-australia's-leading-telecommunications-provider",investors
investors/press-releases/2001/teletech-australia-completes-work-for-australian-bureau-of-statistics-for-2001-census-count,investors
investors/press-releases/2001/teletech-awarded-contract-with-qantas-airways,investors
investors/press-releases/2001/teletech-awarded-multi-year-contract-extension-from-telecom-corporation-of-new-zealand,investors
investors/press-releases/2001/teletech-board-appoints-key-executive-officers,investors
investors/press-releases/2001/teletech-board-of-directors-appoints-chairman-and-founder-kenneth-d-tuchman-as-ceo,investors
investors/press-releases/2001/teletech-enters-the-philippines-to-offer-customer-relationship-management-services,investors
"investors/press-releases/2001/teletech-mexico-awarded-agreement-with-aeromexico,-mexico's-largest-national-airline",investors
investors/press-releases/2001/teletech-names-william-m-walker-president-and-general-manager-of-its-european-operations,investors
investors/press-releases/2001/teletech-new-zealand-signs-five-year-agreement-with-tranz-rail-further-strengthens-teletech's-position-in-the-asia-pacific-region,investors
investors/press-releases/2001/teletech-provides-2001-outlook,investors
investors/press-releases/2001/teletech-reaffirms-commitment-to-healthcare-industry-by-becoming-a-core-founding-partner-of-the-patient-safety-institute,investors
investors/press-releases/2001/teletech-reaffirms-third-quarter-2001-outlook,investors
investors/press-releases/2001/teletech-renews-multi-year-agreement-with-hewlett-packard-in-europe,investors
investors/press-releases/2001/teletech-reports-first-quarter-2001-financial-results-company-implements-cost-cutting-actions-to-improve-long-term-profitability,investors
investors/press-releases/2001/teletech-reports-fourth-quarter-and-year-end-2000-financial-results,investors
investors/press-releases/2001/teletech-reports-second-quarter-2001-financial-results,investors
investors/press-releases/2001/teletech-reports-third-quarter-2001-financial-results-in-line-with-previous-guidance,investors
investors/press-releases/2001/teletech-signs-5-year-agreement-with-brazilian-federal-telecommuncations-regulatory-agency,investors
investors/press-releases/2001/teletech-teams-with-csc-to-win-global-state-department-contract-with-potential-value-of-$100-million,investors
investors/press-releases/2001/teletech-to-host-2001-analyst-conference-and-live-audio-webcast,investors
investors/press-releases/2001/teletech-wins-multi-year-agreement-with-blue-shield-of-california,investors
investors/press-releases/2002/newgen-and-ford-complete-the-development-of-a-web-based-promotional-tool-known-as-'marketing-point',investors
investors/press-releases/2002/newgen-awarded-customer-relationship-management-business-from-hyundai-motor-america,investors
investors/press-releases/2002/nextel-communications-and-ibm-announce-strategic-alliance-for-wireless-solutions-and-customer-care,investors
"investors/press-releases/2002/percepta-signs-multi-year-agreement-with-primus,-a-division-of-ford-credit-percepta-to-support-consumer-automotive-financing-inquiries",investors
investors/press-releases/2002/teletech-announces-authorization-for-stock-repurchase-program,investors
investors/press-releases/2002/teletech-announces-authorization-for-stock-repurchase-program-(1),investors
investors/press-releases/2002/teletech-appoints-ruth-c-lipper-to-board-of-directors,investors
investors/press-releases/2002/teletech-appoints-shirley-young-to-board-of-directors,investors
"investors/press-releases/2002/teletech-asia-pacific-expands-relationship-with-meridian-energy,-new-zealand's-leading-electricity-generator",investors
investors/press-releases/2002/teletech-brazil-awarded-multi-year-agreement-with-unilever,investors
investors/press-releases/2002/teletech-increases-common-stock-repurchase-program-by-$20-million,investors
investors/press-releases/2002/teletech-names-frank-auer-chief-information-officer,investors
investors/press-releases/2002/teletech-new-zealand-delivers-award-winning-customer-management-solution-to-telecom-corporation-of-new-zealand,investors
investors/press-releases/2002/teletech-provides-business-update,investors
investors/press-releases/2002/teletech-renews-multi-year-technical-support-agreement-with-telstra,investors
investors/press-releases/2002/teletech-reports-first-quarter-2002-financial-results-in-line-with-company-guidance,investors
investors/press-releases/2002/teletech-reports-fourth-quarter-2001-financial-results,investors
investors/press-releases/2002/teletech-reports-second-quarter-2002-financial-results-in-line-with-company-guidance,investors
investors/press-releases/2002/teletech-reports-third-quarter-2002-financial-results-in-line-with-company-guidance,investors
"investors/press-releases/2002/volkswagen-again-chooses-newgen-to-provide-customer-management-to-volkswagen-of-america,-inc",investors
investors/press-releases/2003/aussie-group-partners-with-teletech-australia,investors
investors/press-releases/2003/automotive-veteran-greg-o'neill-joins-newgen-as-chief-operating-officer,investors
investors/press-releases/2003/blue-shield-of-california-expands-relationship-with-teletech,investors
investors/press-releases/2003/customer-excellence-award-winner-teletech-to-provide-expertise-through-alliance-with-aspect,investors
investors/press-releases/2003/jaguar-to-pilot-newgen's-co-source-reservations-tool,investors
investors/press-releases/2003/newgen-introduces-'sales-channel',investors
investors/press-releases/2003/newgen-launches-first-international-service-reminder-program,investors
investors/press-releases/2003/newgen-launches-gmcarabunga-online-marketing-tool-for-general-motors-automotive-dealers,investors
investors/press-releases/2003/newgen-lawsuit-successfully-defended,investors
investors/press-releases/2003/percepta-and-ford-win-prestigious-e-learning-award,investors
investors/press-releases/2003/teletech-and-bmibaby-launch-national-reservations-and-customer-care-center,investors
investors/press-releases/2003/teletech-announces-authorization-for-continuation-of-share-repurchase-program,investors
investors/press-releases/2003/teletech-announces-india-joint-venture-to-provide-outsourced-customer-management-solutions,investors
investors/press-releases/2003/teletech-announces-multi-year-relationship-with-banco-santander-in-brazil,investors
investors/press-releases/2003/teletech-announces-multi-year-relationship-with-best-buy,investors
investors/press-releases/2003/teletech-announces-new-executive-appointments-(1),investors
investors/press-releases/2003/teletech-announces-release-date-for-fourth-quarter-2002-results,investors
investors/press-releases/2003/teletech-appoints-william-a-linnenbringer-to-board-of-directors,investors
investors/press-releases/2003/teletech-awarded-contract-with-circuit-city,investors
investors/press-releases/2003/teletech-brazil-awarded-multi-year-agreement-with-tv-cidade,investors
investors/press-releases/2003/teletech-brazil-expands-relationship-with-hewlett-packard,investors
investors/press-releases/2003/teletech-names-kamalesh-dwivedi-senior-vice-president-and-chief-information-officer,investors
investors/press-releases/2003/teletech-names-rod-edwards-president-and-general-manager-of-its-european-operations,investors
investors/press-releases/2003/teletech-partners-with-spanish-income-taxing-agency,investors
investors/press-releases/2003/teletech-provides-business-update,investors
investors/press-releases/2003/teletech-provides-business-update-(1),investors
investors/press-releases/2003/teletech-recognized-for-exceptional-growth-from-1998-to-2002,investors
investors/press-releases/2003/teletech-renews-multi-year-agreement-with-yellow-pages-subsidiary-of-telefonica-de-espana,investors
investors/press-releases/2003/teletech-renews-multi-year-relationship-with-time-warner-cable-of-new-york-and-new-jersey,investors
investors/press-releases/2003/teletech-reports-first-quarter-2003-financial-results,investors
investors/press-releases/2003/teletech-reports-fourth-quarter-2002-financial-results,investors
investors/press-releases/2003/teletech-reports-second-quarter-2003-financial-results,investors
investors/press-releases/2003/teletech-reports-third-quarter-2003-net-income-of-$2-million-and-earnings-per-share-of-3-cents-generates-more-than-$28-million-of-free-cash-flow,investors
investors/press-releases/2003/william-g-klehm-appointed-president-and-general-manager-of-newgen,investors
investors/press-releases/2004/broadband-service-provider-extends-agreement-with-teletech,investors
investors/press-releases/2004/frost-amp-sullivan-awards-teletech-for-excellence-in-business-development-strategy,investors
investors/press-releases/2004/jim-greene-to-lead-teletech's-global-financial-services,investors
investors/press-releases/2004/new-services-complete-newgen's-virtual-business-development-center-(bdc),investors
investors/press-releases/2004/teletech-announces-agreement-with-aeromexico,investors
investors/press-releases/2004/teletech-announces-launch-of-its-on-demand-business-unit,investors
investors/press-releases/2004/teletech-awarded-agreement-with-global-professional-services-firm,investors
investors/press-releases/2004/teletech-awarded-agreement-with-the-us-department-of-state,investors
investors/press-releases/2004/teletech-awarded-multiyear-agreement-to-support-wireless-local-number-portability,investors
investors/press-releases/2004/teletech-completes-debt-reduction-plan,investors
investors/press-releases/2004/teletech-extends-relationship-with-australia's-largest-wireless-provider,investors
"investors/press-releases/2004/teletech-government-solutions,-llc-awarded-a-portion-of-general-services-administration-business",investors
investors/press-releases/2004/teletech-introduces-comprehensive-accounts-receivable-management-solution,investors
investors/press-releases/2004/teletech-names-greg-hopkins-as-executive-vice-president-of-business-development,investors
investors/press-releases/2004/teletech-names-patrick-l-o'malley-as-president-and-general-manager-of-commercial-and-government-business-units,investors
investors/press-releases/2004/teletech-reduces-debt-earlier-than-planned-by-an-additional-$57-million-in-the-third-quarter,investors
investors/press-releases/2004/teletech-renews-key-client-agreements-and-signs-new-business-with-fortune-50-company,investors
investors/press-releases/2004/teletech-reports-first-quarter-2004-financial-results,investors
investors/press-releases/2004/teletech-reports-fourth-quarter-and-full-year-2003-financial-results,investors
investors/press-releases/2004/teletech-reports-second-quarter-2004-financial-results,investors
investors/press-releases/2004/teletech-reports-third-quarter-2004-financial-results,investors
investors/press-releases/2004/teletech-strengthens-relationship-with-computer-sciences-corporation,investors
investors/press-releases/2005/newgen-acquires-reynolds-and-reynolds-campaign-management-services-business-achieves-certification-as-a-reynolds-certified-interface-partner,investors
investors/press-releases/2005/newgen-and-ford-launch-'genuine-retention-plus'-for-ford-and-lincoln-mercury-dealerships,investors
investors/press-releases/2005/percepta-announces-agreement-with-helm,investors
investors/press-releases/2005/teletech-acquires-philippines-based-business-process-outsourcing-company,investors
investors/press-releases/2005/teletech-and-amena-extend-agreement,investors
investors/press-releases/2005/teletech-and-avaya-deliver-new-hosted-services-to-help-companies-manage-customer-interactions,investors
investors/press-releases/2005/teletech-and-best-western-international-forge-multi-year-agreement,investors
"investors/press-releases/2005/teletech-announces-decision-to-exit-customer-management-center-in-glasgow,-scotland",investors
investors/press-releases/2005/teletech-announces-new-revenue-assurance-solution,investors
investors/press-releases/2005/teletech-expands-relationships-with-key-cable-providers,investors
investors/press-releases/2005/teletech-expands-to-support-client-growth,investors
investors/press-releases/2005/teletech-files-amended-financial-statements,investors
investors/press-releases/2005/teletech-joins-american-red-cross-concert-for-hurricane-relief-telethon,investors
investors/press-releases/2005/teletech-launches-over-the-phone-interpretation-services,investors
investors/press-releases/2005/teletech-provides-business-update,investors
investors/press-releases/2005/teletech-provides-business-update-(1),investors
investors/press-releases/2005/teletech-provides-correction-to-dow-jones-news-headline,investors
investors/press-releases/2005/teletech-provides-three-year-financial-goals,investors
investors/press-releases/2005/teletech-provides-update-regarding-its-board-of-directors,investors
investors/press-releases/2005/teletech-receives-2004-product-innovation-award-for-its-'intelligent-systems-on-demand'-applications-suite,investors
investors/press-releases/2005/teletech-receives-customer-interaction-solutions(r)-magazine's-ip-contact-center-technology-pioneer-award,investors
investors/press-releases/2005/teletech-reports-first-quarter-2005-financial-results,investors
investors/press-releases/2005/teletech-reports-fourth-quarter-and-full-year-2004-financial-results,investors
investors/press-releases/2005/teletech-reports-second-quarter-2005-financial-results,investors
investors/press-releases/2005/teletech-reports-third-quarter-2005-financial-results,investors
investors/press-releases/2005/teletech-shares-its-holiday-spirit-with-denver-seniors,investors
investors/press-releases/2006/daniel-powell-named-president-of-newgen-results-corporation,investors
investors/press-releases/2006/direct-alliance-corporation-signs-multiyear-agreement-with-leading-independent-software-vendor,investors
investors/press-releases/2006/direct-alliance-wins-sales-excellence-awards,investors
investors/press-releases/2006/global-business-products-retailer-selects-teletech-for-business-process-services,investors
investors/press-releases/2006/teletech-adds-functionality-to-ondemand(tm)-hosted-contact-center-offering,investors
investors/press-releases/2006/teletech-and-lenderlive-partnership-transforms-mortgage-processing,investors
investors/press-releases/2006/teletech-announces-$80-million-of-new-and-expanded-client-relationships,investors
investors/press-releases/2006/teletech-announces-agreement-to-acquire-direct-alliance-corporation,investors
investors/press-releases/2006/teletech-chief-financial-officer-resigns-to-pursue-private-investment-opportunity,investors
investors/press-releases/2006/teletech-completes-acquisition-of-direct-alliance-corporation,investors
investors/press-releases/2006/teletech-expands-agreement-with-top-us-cable-operator,investors
investors/press-releases/2006/teletech-expands-agreement-with-top-us-cable-provider,investors
investors/press-releases/2006/teletech-expands-agreement-with-worldwide-airline,investors
"investors/press-releases/2006/teletech-expands-into-guadalajara,-mexico",investors
investors/press-releases/2006/teletech-expands-relationship-with-leading-business-services-provider,investors
investors/press-releases/2006/teletech-expands-relationship-with-leading-communications-provider,investors
investors/press-releases/2006/teletech-expands-relationship-with-leading-consumer-products-company,investors
investors/press-releases/2006/teletech-government-solutions-launches-additional-us-department-of-state-web-site,investors
investors/press-releases/2006/teletech-launches-@home-solution,investors
investors/press-releases/2006/teletech-launches-retail-voice-portal,investors
investors/press-releases/2006/teletech-launches-spanish-language-program-for-fortune-500-communications-provider,investors
investors/press-releases/2006/teletech-named-to-the-global-outsourcing-100,investors
investors/press-releases/2006/teletech-powers-chasecom's-newly-expanded-offerings,investors
investors/press-releases/2006/teletech-provides-business-update,investors
investors/press-releases/2006/teletech-ranks-57th-on-the-informationweek-500,investors
investors/press-releases/2006/teletech-ranks-in-top-100-on-the-informationweek-500,investors
"investors/press-releases/2006/teletech-renews,-expands-agreement-with-leading-global-banking-institution",investors
investors/press-releases/2006/teletech-reports-first-quarter-2006-financial-results,investors
investors/press-releases/2006/teletech-reports-fourth-quarter-2005-financial-results,investors
investors/press-releases/2006/teletech-reports-second-quarter-2006-financial-results,investors
investors/press-releases/2006/teletech-reports-third-quarter-2006-financial-results,investors
investors/press-releases/2006/teletech-selected-for-multiyear-agreement-with-leading-financial-services-firm,investors
investors/press-releases/2006/teletech-signs-agreement-with-advanced-digital-communications-provider,investors
investors/press-releases/2006/teletech-signs-agreement-with-leading-us-healthcare-provider,investors
investors/press-releases/2006/teletech-signs-expanded-multiyear-agreement-to-provide-blended-business-process-services-to-leading-us-healthcare-insurer,investors
investors/press-releases/2006/teletech-to-present-at-the-cl-king-best-ideas-conference,investors
investors/press-releases/2006/teletech-to-present-at-the-craig-hallum-institutional-investor-conference,investors
investors/press-releases/2006/teletech-to-present-at-the-credit-suisse-global-services-growth-conference,investors
investors/press-releases/2006/teletech-to-present-at-three-investor-conferences-in-november,investors
investors/press-releases/2007/direct-alliance-wins-back-to-back-stevie(r)-awards,investors
investors/press-releases/2007/teletech-announces-pricing-of-secondary-offering-of-5-million-shares-of-common-stock,investors
investors/press-releases/2007/teletech-announces-release-date-for-first-quarter-2007-financial-results,investors
investors/press-releases/2007/teletech-announces-release-date-for-fourth-quarter-and-full-year-2006-financial-results,investors
investors/press-releases/2007/teletech-announces-release-date-for-second-quarter-2007-financial-results-and-filing-of-its-quarterly-report-on-form-10-q,investors
investors/press-releases/2007/teletech-announces-release-date-for-third-quarter-2007-financial-results,investors
"investors/press-releases/2007/teletech-announces-sale-of-newgen,-its-database-marketing-and-consulting-business",investors
investors/press-releases/2007/teletech-announces-secondary-offering-of-5-million-shares-of-common-stock,investors
investors/press-releases/2007/teletech-board-of-directors-increases-share-repurchase-authorization-by-an-additional-$50-million,investors
investors/press-releases/2007/teletech-celebrates-its-25th-anniversary,investors
investors/press-releases/2007/teletech-expands-agreement-with-leading-technology-products-company,investors
investors/press-releases/2007/teletech-expands-agreement-with-top-us-cable-provider,investors
investors/press-releases/2007/teletech-expands-global-footprint-into-south-africa,investors
investors/press-releases/2007/teletech-expands-into-costa-rica,investors
investors/press-releases/2007/teletech-expands-relationship-with-leading-business-services-provider,investors
investors/press-releases/2007/teletech-expands-relationship-with-leading-business-services-provider-(1),investors
investors/press-releases/2007/teletech-expands-relationship-with-leading-communications-provider,investors
investors/press-releases/2007/teletech-expands-relationship-with-leading-communications-provider-(1),investors
investors/press-releases/2007/teletech-expands-relationship-with-leading-communications-provider-(2),investors
